item,id_tweet,moment,H1,H2,H3,Grok,Gemini,reference,configuration,terme_lexique,termes_trouves
1,1997434653196611914,avant,0,0,2,0,0,0,majorité 2-1,0,
2,1997434715217825816,avant,0,0,0,0,0,0,unanimité,0,
3,1997434750764548149,avant,0,0,0,0,0,0,unanimité,0,
4,1997435022798623177,avant,0,0,0,0,0,0,unanimité,0,
5,1997435151740190946,avant,2,2,2,0,0,2,unanimité,0,
6,1997435373325029865,avant,2,2,2,2,0,2,unanimité,0,
7,1997435395345109186,avant,0,0,0,2,0,0,unanimité,0,
8,1997435682688549234,avant,0,0,0,2,2,0,unanimité,0,
9,1997435949505032561,avant,0,0,0,0,0,0,unanimité,0,
10,1997436204774465809,avant,0,0,0,2,0,0,unanimité,0,
11,1997436563307761679,avant,0,0,0,2,0,0,unanimité,0,
12,1997436655297266146,avant,2,0,0,0,0,0,majorité 2-1,0,
13,1997436992049545627,avant,0,0,0,1,0,0,unanimité,0,
14,1997437058936193097,avant,2,0,0,0,0,0,majorité 2-1,0,
15,1997437088707321900,avant,2,2,2,2,0,2,unanimité,0,
16,1997437779777618402,avant,0,0,0,0,0,0,unanimité,0,
17,1997438098376949840,avant,1,1,1,2,1,1,unanimité,0,
18,1997438168614789457,avant,0,0,0,0,0,0,unanimité,0,
19,1997438187719844261,avant,0,0,0,0,0,0,unanimité,0,
20,1997438532466475296,avant,0,0,0,0,0,0,unanimité,0,
21,1997438927536378319,avant,0,0,0,0,0,0,unanimité,0,
22,1997438966434308162,avant,2,2,2,2,0,2,unanimité,0,
23,1997439099259543733,avant,2,1,1,1,1,1,majorité 2-1,0,
24,1997439140946759764,avant,2,0,0,2,0,0,majorité 2-1,0,
25,1997439265932787721,avant,0,0,0,0,0,0,unanimité,0,
26,1997439302284841083,avant,2,2,2,2,2,2,unanimité,0,
27,1997439460066095468,avant,2,0,0,2,2,0,majorité 2-1,0,
28,1997439663787704338,avant,2,2,2,0,2,2,unanimité,0,
29,1997440039148454104,avant,0,0,0,2,2,0,unanimité,0,
30,1997440386789413091,avant,0,0,0,0,0,0,unanimité,0,
31,1997440413850874147,avant,2,2,0,0,0,2,majorité 2-1,0,
32,1997440799236296872,avant,2,2,2,2,2,2,unanimité,0,
33,1997440893238845522,avant,0,0,0,0,0,0,unanimité,0,
34,1997442018625085910,avant,0,0,0,2,2,0,unanimité,0,
35,1997442315133358425,avant,2,2,1,0,0,2,majorité 2-1,0,
36,1997442409609777459,avant,0,0,0,0,0,0,unanimité,0,
37,1997442491839095127,avant,2,2,2,0,2,2,unanimité,0,
38,1997442866461732920,avant,0,0,0,0,0,0,unanimité,0,
39,1997443027758195050,avant,0,0,0,0,0,0,unanimité,0,
40,1997443092580884797,avant,0,0,0,0,0,0,unanimité,0,
41,1997443090886373412,avant,0,0,0,0,0,0,unanimité,0,
42,1997443131613086157,avant,2,0,0,2,0,0,majorité 2-1,0,
43,1997443204195463430,avant,0,0,0,0,0,0,unanimité,0,
44,1997443291961324022,avant,0,0,0,0,0,0,unanimité,0,
45,1997443344432275873,avant,0,0,0,2,0,0,unanimité,0,
46,1997443397871935717,avant,0,2,2,0,0,2,majorité 2-1,0,
47,1997443569569923191,avant,2,0,0,0,0,0,majorité 2-1,0,
48,1997443621046673651,avant,2,0,0,0,0,0,majorité 2-1,0,
49,1997443666315473252,avant,0,0,0,0,0,0,unanimité,0,
50,1997444122580566523,avant,0,0,0,2,0,0,unanimité,0,
51,1997444188372115893,avant,2,2,2,0,0,2,unanimité,0,
52,1997444407306646012,avant,0,0,0,0,0,0,unanimité,0,
53,1997444446707704135,avant,2,2,2,0,0,2,unanimité,0,
54,1997445259412836475,avant,2,0,0,0,0,0,majorité 2-1,0,
