item,id_tweet,type,terme_declencheur,H1,H2,H3,Grok,Gemini,majorite_humaine,reference_finale,configuration
1,2065566539722498477,incel,hypergamie,0,0,0,0,0,0,0,unanimité
2,2064429021442588764,hostile,nymphomane,2,2,2,1,2,2,2,unanimité
3,1998838453471949077,anti_feministe_politique,neo-feministe,2,2,2,2,2,2,2,unanimité
4,2067600800939962679,anti_feministe_politique,wokisme,2,0,0,0,0,0,0,majorité 2-1
5,2067589108533280858,anti_feministe_politique,patriarcat,2,0,2,0,0,2,2,majorité 2-1
6,2067569638364393642,paternaliste,greluche,1,1,2,1,1,1,1,majorité 2-1
7,2051911925202575869,anti_feministe_politique,hommes_modernes,0,0,0,0,0,0,0,unanimité
8,2067590597347623062,anti_feministe_politique,wokiste,0,0,0,0,0,0,0,unanimité
9,2065056749007065489,hostile,décérébrée,1,1,0,0,0,1,1,majorité 2-1
10,2064932851204620594,paternaliste,bécasse,2,2,2,2,1,2,2,unanimité
11,2064995927941599326,hostile,tchoin,1,1,1,1,1,1,1,unanimité
12,2064483115922235850,hostile,cagole,1,1,2,1,1,1,1,majorité 2-1
13,2066495168618909896,incel,plan_culs,0,0,0,0,0,0,0,unanimité
14,2021140510430101803,anti_feministe_politique,lobby_féministe,1,1,2,0,0,1,1,majorité 2-1
15,2067249913730052382,incel,hypergamie,2,2,2,2,2,2,2,unanimité
16,2063861578613633313,anti_feministe_politique,féministe_moderne,2,2,0,2,2,2,2,majorité 2-1
17,2067537146030780832,incel,tana,1,1,1,2,1,1,1,unanimité
18,2067607902794182896,paternaliste,cruche,1,1,2,1,1,1,1,majorité 2-1
19,2037806638829129945,anti_feministe_politique,homme_moderne,0,0,0,0,0,0,0,unanimité
20,2067304547349901505,paternaliste,nunuche,1,1,0,0,1,1,1,majorité 2-1
21,2067607209534513458,paternaliste,gourde,0,0,0,0,0,0,0,unanimité
22,2067287970004996231,incel,périmée,0,0,0,0,0,0,0,unanimité
23,2067611666225783158,incel,mondial,0,0,0,0,0,0,0,unanimité
24,2067612693066846507,paternaliste,gourde,0,0,0,0,0,0,0,unanimité
25,2067536729305653593,objectifiant_ou_sexuel,soutif,2,2,0,1,1,2,2,majorité 2-1
26,2065063913146782165,hostile,nana,2,0,0,0,0,0,0,majorité 2-1
27,2058094849333559328,objectifiant_ou_sexuel,planche_à_pain,,1,0,2,2,,0,éclaté / égalité
28,2065052897436418356,hostile,bonne_femme,0,0,2,1,1,0,0,majorité 2-1
29,2067599244173685105,hostile,conne,1,1,1,1,1,1,1,unanimité
30,2067600309472403835,anti_feministe_politique,wokiste,1,0,0,1,1,0,0,majorité 2-1
31,2067608420006433149,paternaliste,nunuche,1,1,2,1,1,1,1,majorité 2-1
32,2067617386815951071,objectifiant_ou_sexuel,sexy,1,1,2,0,0,1,1,majorité 2-1
33,2065078164360179802,paternaliste,ma_petite,0,0,0,0,0,0,0,unanimité
34,2067207550441767080,objectifiant_ou_sexuel,fille_facile,1,1,1,1,1,1,1,unanimité
35,2066606021506732430,anti_feministe_politique,guerre_des_sexes,1,1,2,2,2,1,1,majorité 2-1
36,2067573427100127507,incel,bodycount,0,0,0,0,0,0,0,unanimité
37,2067616830726758707,objectifiant_ou_sexuel,niquer,1,1,0,0,0,1,1,majorité 2-1
38,2067518909696139400,objectifiant_ou_sexuel,cochonne,1,1,1,1,1,1,1,unanimité
39,2065257116152004883,anti_feministe_politique,femme_moderne,1,1,2,1,2,1,1,majorité 2-1
40,2065044788970168333,hostile,truie,1,1,2,1,1,1,1,majorité 2-1
41,2065066141735645432,hostile,crasseuse,1,1,2,1,1,1,1,majorité 2-1
42,2065752152207716594,paternaliste,frigide,2,0,0,0,0,0,0,majorité 2-1
43,2067600291206148438,hostile,conne,0,0,0,1,1,0,0,unanimité
44,2064970850818797683,paternaliste,drama_queen,2,2,0,0,0,2,2,majorité 2-1
45,2067585514601922938,incel,homme-soja,0,0,0,1,1,0,0,unanimité
46,2067541364724674589,hostile,pintade,1,1,2,1,1,1,1,majorité 2-1
47,2047462388098842635,anti_feministe_politique,homme_moderne,0,0,0,0,0,0,0,unanimité
48,2067604090595459345,objectifiant_ou_sexuel,baiser,2,2,0,0,0,2,2,majorité 2-1
49,2067594948623343780,anti_feministe_politique,wokiste,0,0,0,0,0,0,0,unanimité
50,2067466792579072120,objectifiant_ou_sexuel,pouffe,1,1,2,1,1,1,1,majorité 2-1
51,2065067854030897484,hostile,nana,1,2,2,1,1,2,2,majorité 2-1
52,2067614566872211520,objectifiant_ou_sexuel,sexy,2,2,0,2,2,2,2,majorité 2-1
53,2067348152609300490,objectifiant_ou_sexuel,chaudasse,1,1,2,1,1,1,1,majorité 2-1
54,2065420933259497565,incel,plans_cul,0,0,0,0,0,0,0,unanimité
55,2067432703658529136,objectifiant_ou_sexuel,pouffe,1,1,2,1,1,1,1,majorité 2-1
56,2067582817853161800,anti_feministe_politique,misandre,1,0,0,0,0,0,0,majorité 2-1
57,2067202224267120806,paternaliste,frigide,1,2,2,2,1,2,2,majorité 2-1
58,2066733740038979851,incel,émasculé,1,0,0,0,0,0,0,majorité 2-1
59,2065056138719051945,hostile,gonzesse,0,0,0,2,0,0,0,unanimité
60,2066197330995343683,hostile,michtonneuse,1,2,0,1,1,,1,éclaté / égalité
61,2067505323040968864,anti_feministe_politique,patriarche,0,0,0,0,0,0,0,unanimité
62,2067360496374690014,incel,tana,1,1,2,1,1,1,1,majorité 2-1
63,2067516734144217162,incel,tana,0,0,0,0,0,0,0,unanimité
64,2067618591822770667,paternaliste,ma_grande,1,2,2,1,2,2,2,majorité 2-1
65,2066107825688887755,incel,plans_cul,1,1,1,1,1,1,1,unanimité
66,2021211478842347809,anti_feministe_politique,féministes_modernes,1,0,2,0,2,,2,éclaté / égalité
67,2067542886036439353,paternaliste,ma_poule,0,0,0,0,0,0,0,unanimité
68,2067603277315764287,objectifiant_ou_sexuel,baiser,1,1,1,1,1,1,1,unanimité
69,2065056551224705397,hostile,décérébrée,0,0,0,0,0,0,0,unanimité
70,2067613595362382149,objectifiant_ou_sexuel,niquer,2,0,0,0,0,0,0,majorité 2-1
71,2064417876648308959,anti_feministe_politique,néo-féminisme,1,2,2,2,2,2,2,majorité 2-1
72,2067214036316409862,hostile,névrosée,1,0,2,1,0,,0,éclaté / égalité
73,2067290562361700519,objectifiant_ou_sexuel,minijupe,2,2,2,2,0,2,2,unanimité
74,2067030126475301201,anti_feministe_politique,néo-féminisme,1,2,0,0,0,,2,éclaté / égalité
75,2062969380628050126,objectifiant_ou_sexuel,bonnasse,1,1,2,2,2,1,1,majorité 2-1
76,2064840495491125730,hostile,timpe,1,1,1,1,1,1,1,unanimité
77,2067602050230190456,paternaliste,ma_pauvre,0,0,2,2,0,0,0,majorité 2-1
78,2067605986236362836,incel,bdh,1,2,0,0,0,,0,éclaté / égalité
79,2067608611275325824,paternaliste,ma_grande,0,0,0,0,0,0,0,unanimité
80,2065009145443389825,hostile,garce,1,1,2,1,1,1,1,majorité 2-1
81,2064412133324915003,hostile,nymphomane,1,1,0,2,0,1,1,majorité 2-1
82,2065073857937989656,hostile,folle,0,2,0,1,1,0,0,majorité 2-1
83,2066988240142241904,anti_feministe_politique,féminazie,1,0,0,1,1,0,0,majorité 2-1
84,2065065338559996051,hostile,gonzesse,1,2,2,0,0,2,2,majorité 2-1
85,2067541922286014582,anti_feministe_politique,mascu,0,0,0,0,0,0,0,unanimité
86,2067558492676755583,anti_feministe_politique,patriarche,0,0,0,0,0,0,0,unanimité
87,2064574277110632847,hostile,nympho,1,1,2,2,2,1,1,majorité 2-1
88,2059358663114994154,anti_feministe_politique,femmes_modernes,1,1,1,1,1,1,1,unanimité
89,2067601758096883794,hostile,conne,0,0,0,0,0,0,0,unanimité
90,2065046642714148912,hostile,timpe,1,1,1,1,1,1,1,unanimité
91,2039798080107659658,incel,plan_culs,0,0,0,0,0,0,0,unanimité
92,1766511305647681567,objectifiant_ou_sexuel,poufland,1,1,2,2,1,1,1,majorité 2-1
93,2067544440697201039,incel,plan_cul,0,0,0,0,0,0,0,unanimité
94,2067512875984224551,anti_feministe_politique,misandre,2,0,0,2,2,0,0,majorité 2-1
95,2065058386790559885,hostile,pétasse,1,1,2,1,1,1,1,majorité 2-1
96,2067593348001436145,objectifiant_ou_sexuel,coquine,0,0,0,0,0,0,0,unanimité
97,2065074367394967867,hostile,crasseuse,1,1,0,1,0,1,1,majorité 2-1
98,2065566834779095118,incel,hypergamie,0,0,0,0,0,0,0,unanimité
99,2027835781935476989,incel,plan_culs,0,0,0,0,0,0,0,unanimité
100,2067120552964403601,anti_feministe_politique,castratrice,1,1,2,2,1,1,1,majorité 2-1
101,2067368012236148946,paternaliste,nunuche,1,0,0,0,0,0,0,majorité 2-1
102,2067616461602910540,objectifiant_ou_sexuel,niquer,1,2,0,0,0,,2,éclaté / égalité
103,2067242753088516213,paternaliste,frigide,1,0,0,0,0,0,0,majorité 2-1
104,2067599781204005368,hostile,vulgaire,0,0,0,0,0,0,0,unanimité
105,2067580695438864615,paternaliste,mère,0,0,0,0,0,0,0,unanimité
106,2066658791257735520,anti_feministe_politique,nature_féminine,0,0,2,2,2,0,0,majorité 2-1
107,2066800093781537202,objectifiant_ou_sexuel,allumeuse,1,1,0,1,1,1,1,majorité 2-1
108,2067598860935946597,hostile,conne,0,0,0,1,1,0,0,unanimité
109,2067368482287579271,incel,périmée,0,0,0,2,0,0,0,unanimité
110,2065071666586177644,hostile,salope,1,1,2,1,1,1,1,majorité 2-1
111,2067601872844689903,incel,vierge,1,1,2,2,0,1,1,majorité 2-1
112,2067592103534666159,objectifiant_ou_sexuel,cochonne,1,1,1,1,1,1,1,unanimité
113,2067396185305010629,incel,virginité,1,0,0,0,0,0,0,majorité 2-1
114,2067575014090494159,paternaliste,gourde,,,0,0,0,,0,insuffisant
115,2067605482143895985,incel,bdh,1,0,0,0,0,0,0,majorité 2-1
116,2067613665340076300,objectifiant_ou_sexuel,sexy,0,2,0,0,0,0,0,majorité 2-1
117,2062894458903953888,anti_feministe_politique,hommes_modernes,0,0,2,0,0,0,0,majorité 2-1
118,2067600907987021929,anti_feministe_politique,wokisme,0,0,0,0,0,0,0,unanimité
119,2052346143648981031,anti_feministe_politique,féministe_moderne,1,1,2,2,2,1,1,majorité 2-1
120,2067531056996073787,incel,virginité,1,0,2,1,0,,1,éclaté / égalité
121,2065071621967053113,hostile,folle,1,2,2,1,1,2,2,majorité 2-1
122,2066225615309623591,incel,hypergamie,1,2,2,2,2,2,2,majorité 2-1
123,2067567051007291825,paternaliste,pauvre_fille,0,2,2,0,1,2,2,majorité 2-1
124,2064442640829940122,hostile,nymphomane,1,0,2,0,0,,0,éclaté / égalité
125,2066146479757009400,objectifiant_ou_sexuel,bonnasse,1,1,2,2,1,1,1,majorité 2-1
126,2067581880514257113,hostile,pintade,1,1,2,1,1,1,1,majorité 2-1
127,2067603041621102768,incel,bdh,1,1,2,2,1,1,1,majorité 2-1
128,2067499846785802711,anti_feministe_politique,patriarche,2,0,0,0,0,0,0,majorité 2-1
129,2067512679137153101,incel,périmée,0,0,0,0,0,0,0,unanimité
130,2067268133174259782,hostile,écervelée,1,1,2,2,1,1,1,majorité 2-1
131,2066415183778427116,incel,hypergamie,1,1,2,2,2,1,1,majorité 2-1
132,2066937152038990062,incel,friendzone,1,2,0,0,0,,0,éclaté / égalité
133,2067507486798619000,incel,bodycount,1,2,0,2,2,,0,éclaté / égalité
134,2067552285412970636,hostile,michto,1,1,2,0,1,1,1,majorité 2-1
135,2067278087436247251,objectifiant_ou_sexuel,soutif,1,1,2,2,2,1,1,majorité 2-1
136,2067160935341392142,anti_feministe_politique,féminazi,1,0,0,0,0,0,0,majorité 2-1
137,2065414244628074820,anti_feministe_politique,lobby_féministe,1,1,2,1,1,1,1,majorité 2-1
138,2065073087012303185,hostile,timp,1,1,2,0,1,1,1,majorité 2-1
139,2067567831739215954,anti_feministe_politique,cancel_culture,0,0,0,0,0,0,0,unanimité
140,2025467904469201027,incel,plan_culs,0,0,0,0,0,0,0,unanimité
141,2067592566787240268,anti_feministe_politique,femme_moderne,1,0,2,2,2,,2,éclaté / égalité
142,2066799347950326013,anti_feministe_politique,féminiser,0,0,0,0,0,0,0,unanimité
143,2067222407983641086,objectifiant_ou_sexuel,allumeuse,1,1,1,1,1,1,1,unanimité
144,2026554044781588540,incel,plan_culs,0,1,1,0,0,1,1,majorité 2-1
145,2067619037811532219,objectifiant_ou_sexuel,niquer,1,2,0,0,0,,2,éclaté / égalité
146,2067561568494096706,incel,homme-soja,1,2,2,1,2,2,2,majorité 2-1
147,2066038847478112506,anti_feministe_politique,femme_moderne,1,1,2,2,2,1,1,majorité 2-1
148,2067480184656150832,objectifiant_ou_sexuel,soutif,0,2,0,0,0,0,0,majorité 2-1
149,1978143887899103359,anti_feministe_politique,lobby_féministe,1,0,2,0,0,,2,éclaté / égalité
150,2067611182941274354,objectifiant_ou_sexuel,baiser,1,2,2,1,0,2,2,majorité 2-1
151,956232381110898688,objectifiant_ou_sexuel,poufland,1,1,0,1,1,1,1,majorité 2-1
152,2065071482896584818,hostile,nana,1,1,1,1,1,1,1,unanimité
153,2065057775764275254,hostile,nana,1,2,2,2,2,2,2,majorité 2-1
154,2065978069605568853,anti_feministe_politique,néo-féminisme,0,0,0,0,0,0,0,unanimité
155,2065789557962887554,anti_feministe_politique,femme_moderne,0,0,0,2,0,0,0,unanimité
156,2067599047330824256,hostile,hystérique,1,1,0,0,0,1,1,majorité 2-1
157,2064752577170768253,hostile,mégère,1,1,1,1,1,1,1,unanimité
158,2065065333996593167,hostile,tchoin,1,1,1,1,1,1,1,unanimité
159,2064946650989183072,hostile,timpe,1,1,1,1,1,1,1,unanimité
160,2065059976385601592,hostile,bonne_femme,2,2,2,2,0,2,2,unanimité
161,2067236263317410137,incel,plan_cul,0,0,0,0,0,0,0,unanimité
162,2062870409729688050,objectifiant_ou_sexuel,imbaisable,1,0,1,1,1,1,1,majorité 2-1
163,2064655967527084292,hostile,blondasse,1,1,0,0,0,1,1,majorité 2-1
164,2067271072513130795,objectifiant_ou_sexuel,bonnasse,1,0,1,1,2,1,1,majorité 2-1
165,2064693174912561194,hostile,cagole,1,0,2,0,0,,0,éclaté / égalité
166,2066310266027917741,anti_feministe_politique,féminisé,1,1,0,0,0,1,1,majorité 2-1
167,2067484942745882651,anti_feministe_politique,misandre,1,1,0,1,0,1,1,majorité 2-1
168,2052456342321803481,anti_feministe_politique,féminazie,0,0,0,0,0,0,0,unanimité
169,2065600268507509220,anti_feministe_politique,femme_moderne,1,0,2,1,1,,1,éclaté / égalité
170,2065073144608489877,hostile,pute,1,1,2,0,1,1,1,majorité 2-1
171,2067561387040374825,paternaliste,pauvre_fille,1,0,0,0,0,0,0,majorité 2-1
172,2035050805523358149,anti_feministe_politique,hommes_modernes,1,1,2,2,2,1,1,majorité 2-1
173,2064664516948811824,hostile,nympho,1,1,1,1,1,1,1,unanimité
