type,terme,occurrences_dans_echantillon
anti_feministe_politique,cancel_culture,1
anti_feministe_politique,castratrice,1
anti_feministe_politique,femme_moderne,5
anti_feministe_politique,femmes_modernes,1
anti_feministe_politique,féminazi,1
anti_feministe_politique,féminazie,2
anti_feministe_politique,féminiser,1
anti_feministe_politique,féminisé,1
anti_feministe_politique,féminisme_moderne,1
anti_feministe_politique,féministe_moderne,3
anti_feministe_politique,féministes_modernes,1
anti_feministe_politique,guerre_des_sexes,1
anti_feministe_politique,homme_moderne,3
anti_feministe_politique,hommes_modernes,3
anti_feministe_politique,lobby_féministe,3
anti_feministe_politique,mascu,1
anti_feministe_politique,masculinisme,1
anti_feministe_politique,misandre,3
anti_feministe_politique,nature_féminine,1
anti_feministe_politique,neo-feministe,1
anti_feministe_politique,néo-féminisme,4
anti_feministe_politique,patriarcat,1
anti_feministe_politique,patriarche,4
anti_feministe_politique,wokisme,2
anti_feministe_politique,wokiste,3
hostile,blondasse,2
hostile,bonne_femme,2
hostile,cagole,3
hostile,conne,4
hostile,crasseuse,2
hostile,décérébrée,4
hostile,écervelée,1
hostile,émotive,2
hostile,folle,2
hostile,garce,1
hostile,gonzesse,3
hostile,hystérique,1
hostile,mégère,1
hostile,michto,1
hostile,michtonneuse,1
hostile,nana,4
hostile,névrosée,1
hostile,nympho,3
hostile,nymphomane,3
hostile,pétasse,1
hostile,pintade,2
hostile,pute,2
hostile,salope,1
hostile,tchoin,2
hostile,timp,1
hostile,timpe,3
hostile,truie,2
hostile,vulgaire,1
incel,bdh,3
incel,bodycount,2
incel,émasculé,1
incel,friendzone,1
incel,homme-soja,2
incel,hypergamie,5
incel,mondial,1
incel,périmée,3
incel,plan_cul,2
incel,plan_culs,5
incel,plans_cul,3
incel,tana,3
incel,vierge,1
incel,virginité,2
objectifiant_ou_sexuel,allumeuse,3
objectifiant_ou_sexuel,baiser,3
objectifiant_ou_sexuel,bonnasse,3
objectifiant_ou_sexuel,bonne_à_baiser,2
objectifiant_ou_sexuel,chaudasse,1
objectifiant_ou_sexuel,cochonne,2
objectifiant_ou_sexuel,coquine,1
objectifiant_ou_sexuel,fille_facile,1
objectifiant_ou_sexuel,imbaisable,2
objectifiant_ou_sexuel,minijupe,2
objectifiant_ou_sexuel,niquer,4
objectifiant_ou_sexuel,planche_à_pain,1
objectifiant_ou_sexuel,pouffe,3
objectifiant_ou_sexuel,poufland,2
objectifiant_ou_sexuel,sexy,3
objectifiant_ou_sexuel,soutif,3
paternaliste,bécasse,2
paternaliste,cruche,1
paternaliste,drama_queen,1
paternaliste,frigide,3
paternaliste,gourde,3
paternaliste,greluche,1
paternaliste,ma_grande,2
paternaliste,ma_pauvre,2
paternaliste,ma_petite,2
paternaliste,ma_poule,1
paternaliste,mère,1
paternaliste,nunuche,3
paternaliste,pauvre_fille,2
paternaliste,vieille_fille,1
